License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
April 19 2003,200097,Tinkerdelle,Cat,Domestic Shorthair,,98116
February 07 2006,75432,Pepper,Cat,Manx,Mix,98103
May 21 2014,727943,Ashley,Cat,Domestic Shorthair,,98115
May 08 2015,833836,Lulu,Cat,LaPerm,,98136
May 13 2015,361031,My Boy,Cat,Russian Blue,,98121
July 21 2015,203480,Rocket,Cat,Domestic Shorthair,,98144
September 30 2015,574027,Calypso,Cat,Domestic Shorthair,,98106
November 13 2015,579007,Blue,Cat,American Shorthair,Siamese,98115
November 13 2015,579087,Kashi,Cat,American Shorthair,Mix,98115
November 17 2015,75175,Charlie,Cat,Persian,,98115
November 18 2015,584389,Magic,Cat,LaPerm,,98112
November 23 2015,577634,Solstice,Cat,Maine Coon,Mix,98103
November 24 2015,584443,Smokey,Cat,Domestic Longhair,,98118
November 24 2015,18541,Brat Cat,Cat,Domestic Shorthair,,98108
November 30 2015,905377,Scoots,Cat,Domestic Medium Hair,,98112
November 30 2015,584440,Felix,Cat,LaPerm,,98103
December 01 2015,732857,Loki,Cat,Domestic Shorthair,,98119
December 01 2015,905097,Delilah,Cat,Domestic Shorthair,,98133
December 03 2015,578958,Miss Blackey,Cat,Domestic Medium Hair,,98133
December 03 2015,953657,Herdy,Cat,Domestic Shorthair,,98126
December 04 2015,833751,Rory,Cat,Domestic Shorthair,,
December 06 2015,276770,Milo,Cat,Maine Coon,,98105
December 10 2015,573163,Shadow,Cat,Domestic Shorthair,,98133
December 10 2015,573197,Sasha,Cat,Domestic Shorthair,,98103
December 11 2015,892856,Lexy,Cat,Domestic Shorthair,,98126
December 15 2015,S102883,Rex,Cat,Domestic Shorthair,Mix,98136
December 16 2015,S107860,Molly,Cat,Domestic Shorthair,,98106
December 16 2015,S107861,Tazzie,Cat,Domestic Shorthair,,98106
December 16 2015,896526,Izzy,Cat,Domestic Shorthair,,98125
December 17 2015,347300,Wanjai,Cat,Siamese,,98119
December 17 2015,577738,Alice,Cat,Domestic Medium Hair,,98103
December 18 2015,S107948,Zen,Cat,Domestic Longhair,Mix,98117
December 18 2015,720963,Pepper,Cat,Domestic Shorthair,,98125
December 18 2015,720962,Pierre,Cat,Domestic Shorthair,,98125
December 19 2015,817950,Waldo,Cat,Domestic Longhair,,98103
December 19 2015,825491,Gemma,Cat,American Shorthair,,98125
December 26 2015,571609,Mocha,Cat,Domestic Shorthair,,98103
December 28 2015,584466,Macon,Cat,LaPerm,,98199
December 31 2015,578955,Nugget,Cat,Domestic Shorthair,,98107
January 25 2016,586647,Elvira,Cat,Domestic Shorthair,,98112
February 04 2016,578999,Kitty,Cat,Siberian,,98115
April 14 2016,S100484,Sita,Cat,Domestic Shorthair,,98119
May 11 2016,732839,Mia,Cat,Domestic Longhair,,98118
May 17 2016,S115742,Minuet,Cat,Siberian,,98199
May 24 2016,S116036,Peter,Cat,Domestic Medium Hair,,98112
June 14 2016,S116503,Misty,Cat,Siberian,,98117
June 16 2016,S116742,Frankie Lee Jones,Cat,Domestic Shorthair,,
June 22 2016,832809,,Cat,Domestic Longhair,,98102
June 29 2016,578142,Missy,Cat,Balinese,,98144
July 02 2016,S116996,Alice in Wonderland,Cat,Bombay,Mix,98122
July 14 2016,S117771,Albert,Cat,Domestic Medium Hair,Mix,
July 14 2016,S117772,Elodin,Cat,Domestic Shorthair,Mix,
July 19 2016,S118207,Bramble,Cat,Domestic Longhair,,98125
July 20 2016,S118222,Jasmine,Cat,LaPerm,,98104
July 24 2016,S112149,Seal,Cat,Balinese,,98112
July 24 2016,S112148,Coco,Cat,Balinese,,98112
August 02 2016,576636,Chi,Cat,Siamese,Mix,98125
August 04 2016,S116583,Lucy,Cat,Russian Blue,Mix,98104
August 04 2016,S119301,Lyra,Cat,Mix,,98121
August 22 2016,S103566,Gilligan,Cat,American Shorthair,Oriental Shorthair,98103
August 31 2016,584438,Serena Jenna,Cat,Domestic Shorthair,,98126
August 31 2016,584414,nola briana,Cat,Domestic Medium Hair,,98126
September 09 2016,732667,Moose,Cat,Bengal,,98103
September 19 2016,S119607,Oscar,Cat,Domestic Shorthair,Mix,98125
September 20 2016,569494,Vinnie,Cat,Domestic Shorthair,,98125
September 28 2016,730170,Stanley,Cat,Domestic Shorthair,,98126
September 28 2016,730168,Tobias,Cat,Domestic Medium Hair,,98126
October 04 2016,701697,Sophie,Cat,Domestic Shorthair,,98118
October 06 2016,824935,Aussie,Cat,Domestic Shorthair,,98102
October 13 2016,S101763,Olive,Cat,Maine Coon,Mix,98117
October 17 2016,823371,Maaike,Cat,Domestic Shorthair,,98126
October 17 2016,22066,Pepper,Cat,Domestic Medium Hair,,98122
October 18 2016,S105032,Tulip,Cat,Siamese,Domestic Medium Hair,98119
October 18 2016,892587,Aslan,Cat,Domestic Longhair,,98133
October 18 2016,892588,Talia,Cat,Domestic Longhair,,98133
October 20 2016,891391,Kaiya,Cat,Domestic Shorthair,,98177
October 20 2016,823645,Dot,Cat,Domestic Shorthair,,98109
October 20 2016,823996,Sally,Cat,Domestic Shorthair,,98109
October 21 2016,S108241,Dasher,Cat,Domestic Shorthair,Mix,98119
October 22 2016,15184,Plato,Cat,Siamese,Mix,98109
October 22 2016,15183,Pindar,Cat,Siamese,Mix,98109
October 27 2016,S123218,Glen,Cat,Domestic Longhair,,98122
November 08 2016,824446,Fly,Cat,Domestic Shorthair,,98106
November 08 2016,73859,Minnie,Cat,Domestic Shorthair,,98106
November 09 2016,823348,Ms Mocha,Cat,Domestic Shorthair,,98109
November 14 2016,215382,Chester,Cat,Domestic Shorthair,,98118
November 14 2016,215387,Henri,Cat,Domestic Longhair,,98118
November 15 2016,575961,Sissy,Cat,Domestic Shorthair,,98118
November 15 2016,S101501,Buddy,Cat,Domestic Shorthair,Mix,98118
November 22 2016,S109123,Beatrix,Cat,Domestic Medium Hair,,98028
November 22 2016,S104204,Katharina,Cat,Domestic Longhair,Mix,98103
December 05 2016,720062,Silky,Cat,Domestic Shorthair,,98105
December 09 2016,964393,Talisker,Cat,Siberian,,98103
December 16 2016,S125531,Tesla,Cat,Domestic Shorthair,Mix,98107
December 21 2016,S125533,Clyde,Cat,Domestic Shorthair,Russian Blue,98107
December 27 2016,S100270,Oscar,Cat,Domestic Shorthair,,98144
December 27 2016,S100269,Sabine,Cat,Domestic Shorthair,,98144
December 27 2016,28342,Lena,Cat,Domestic Shorthair,,98107
December 29 2016,896603,Lizzy,Cat,American Shorthair,,98133
January 20 2017,28524,Poopie,Cat,Domestic Shorthair,,98136
January 20 2017,28525,Crazy,Cat,Domestic Shorthair,,98136
January 20 2017,28523,Mister,Cat,Domestic Longhair,,98136
January 23 2017,S125585,Norman Joe,Cat,Domestic Shorthair,Mix,98121
February 01 2017,S126256,Casper,Cat,Domestic Shorthair,,98126
February 07 2017,S127556,Bella,Cat,American Wirehair,,98112
February 08 2017,S112443,Bandytka,Cat,Mix,,98116
February 08 2017,576353,Panthro,Cat,Domestic Shorthair,,98115
February 08 2017,953633,Gibbs,Cat,Domestic Medium Hair,,98115
February 10 2017,77218,Sami,Cat,Siamese,Russian Blue,98101
February 14 2017,905458,Molly,Cat,Domestic Longhair,,98117
February 14 2017,823658,Sweetie,Cat,Domestic Shorthair,,98117
February 15 2017,S127195,Wolverine,Cat,Domestic Shorthair,Mix,98104
February 17 2017,S127753,Tigger,Cat,Domestic Shorthair,Mix,98121
February 17 2017,S127754,Precious,Cat,Domestic Shorthair,Mix,98121
February 28 2017,825096,Snickers,Cat,Domestic Medium Hair,Siamese,98118
March 07 2017,S101621,Pineapple,Cat,Domestic Shorthair,Mix,98105
March 21 2017,S109066,Sheeba,Cat,Domestic Shorthair,Mix,98112
March 24 2017,134722,Skyler,Cat,LaPerm,,98118
March 24 2017,140148,Jasmine,Cat,Domestic Shorthair,,98118
March 27 2017,433884,Yogi,Cat,Himalayan,,98117
March 28 2017,964186,Lucy,Cat,Domestic Shorthair,,98106
April 04 2017,S141851,Pikachu,Cat,Domestic Shorthair,,98119
April 10 2017,S129636,Hoho,Cat,Domestic Medium Hair,,98199
April 10 2017,S129637,Moo,Cat,Domestic Medium Hair,,98199
April 11 2017,579307,Thalia,Cat,Domestic Shorthair,,98115
April 11 2017,133966,Charlie,Cat,Domestic Shorthair,,98102
April 12 2017,S128589,Sassy Cassy,Cat,Domestic Longhair,Mix,98107
April 12 2017,S108414,Sansa,Cat,American Shorthair,,98103
April 13 2017,732743,Bruce Campbell,Cat,Devon Rex,,98178
April 14 2017,203339,Buttermilk,Cat,LaPerm,,98144
April 18 2017,S130093,Hazel Gray,Cat,Domestic Medium Hair,,98103
April 18 2017,S130011,Busby,Cat,Domestic Medium Hair,,98133
April 27 2017,S129570,Clayton,Cat,Himalayan,Mix,98115
April 27 2017,S129572,Whispers,Cat,Siamese,Mix,98115
April 27 2017,S129573,Shaddow,Cat,Tonkinese,Mix,98115
April 27 2017,S129574,Midnight,Cat,Siamese,Domestic Longhair,98115
April 27 2017,S129575,Echo,Cat,Siamese,Mix,98115
April 27 2017,S129569,Zephyra,Cat,Siamese,Mix,98115
May 02 2017,730972,Zoey,Cat,Domestic Shorthair,,98116
May 08 2017,S123560,Crystal,Cat,Siamese,Mix,98119
May 11 2017,S132595,Violet,Cat,American Shorthair,,98115
May 16 2017,953716,Marley,Cat,Domestic Shorthair,,98115
May 16 2017,S131029,Pekoe,Cat,Domestic Longhair,,98115
May 19 2017,S109675,Matt the Cat,Cat,Bombay,Mix,98103
May 20 2017,S129793,Aurora,Cat,Siamese,Ragdoll,98115
May 24 2017,444089,Peanut,Cat,Domestic Medium Hair,,98115
May 26 2017,S130475,Hobie,Cat,Domestic Shorthair,,98117
June 01 2017,570177,Hector,Cat,Domestic Medium Hair,,98103
June 06 2017,203895,Cricket,Cat,Domestic Shorthair,,98107
June 06 2017,208553,Puck,Cat,Domestic Shorthair,,98107
June 10 2017,142312,Frankie,Cat,Domestic Shorthair,,98107
June 12 2017,434627,P Cuddlepants,Cat,Domestic Shorthair,,98117
June 12 2017,578937,Kohl,Cat,Domestic Shorthair,,98199
June 12 2017,578938,Mayre,Cat,Domestic Shorthair,,98199
June 13 2017,435853,Momo,Cat,Siamese,Mix,98116
June 14 2017,952776,Delilah,Cat,Domestic Shorthair,,
June 21 2017,S130383,Baby Cakes,Cat,Domestic Longhair,Mix,98101
June 27 2017,948321,Murphy,Cat,Domestic Longhair,,98177
July 01 2017,S131429,Sarge,Cat,Domestic Shorthair,Mix,98115
July 01 2017,S131431,Cookie,Cat,Domestic Shorthair,Mix,98118
July 01 2017,S131073,Odin,Cat,Domestic Longhair,Mix,
July 01 2017,S131074,Demetrius,Cat,Maine Coon,Mix,
July 01 2017,346697,Charlotte,Cat,LaPerm,,98105
July 01 2017,S131435,Imogen,Cat,Domestic Medium Hair,Mix,98103
July 02 2017,S126376,Shine,Cat,Domestic Longhair,,98115
July 02 2017,S126377,Randle,Cat,Domestic Shorthair,,98115
July 02 2017,S131439,Zeke,Cat,Domestic Shorthair,Mix,98117
July 02 2017,S131441,Recco,Cat,Domestic Shorthair,Mix,98117
July 02 2017,S131442,Connor,Cat,Domestic Shorthair,Mix,98103
July 02 2017,S131445,Emma,Cat,Domestic Shorthair,Mix,98177
July 02 2017,S131446,Winter,Cat,Domestic Shorthair,Mix,98119
July 02 2017,S131448,Panther,Cat,Domestic Shorthair,Mix,98116
July 02 2017,S131449,Chipmunk,Cat,Domestic Shorthair,Mix,98116
July 03 2017,S126379,Mindy,Cat,Domestic Longhair,Mix,98117
July 03 2017,S133102,Kitty,Cat,Domestic Shorthair,,98144
July 05 2017,S131450,Hunter,Cat,Domestic Longhair,Mix,98109
July 05 2017,S131451,Elle,Cat,Domestic Shorthair,Mix,98119
July 05 2017,S131078,Button,Cat,Domestic Shorthair,Mix,98136
July 05 2017,S131079,Bagira,Cat,Domestic Shorthair,Mix,98118
July 05 2017,S131080,Bubble Tea,Cat,Domestic Shorthair,Mix,98103
July 05 2017,S132976,Coalie,Cat,Russian Blue,,98115
July 05 2017,S132971,Elliot,Cat,Siamese,,98102
July 05 2017,S100012,Theo,Cat,Domestic Shorthair,,98101
July 05 2017,353569,Izzy,Cat,Domestic Shorthair,,98118
July 05 2017,S133161,Beebe,Cat,Domestic Shorthair,,98136
July 05 2017,S133162,Riker,Cat,Maine Coon,,98136
July 05 2017,832738,Manny,Cat,Domestic Shorthair,Mix,98108-1408
July 05 2017,S132950,Diego,Cat,Domestic Shorthair,,98177
July 05 2017,430315,Lucy,Cat,Domestic Shorthair,,98115
July 05 2017,S100903,Ken,Cat,Domestic Shorthair,Mix,
July 05 2017,S112826,Ashley,Cat,Domestic Shorthair,Mix,98115
July 05 2017,434499,Guy Noir,Cat,Domestic Shorthair,,98107
July 05 2017,S133075,Benny,Cat,Ragdoll,,98116
