"","Soda","Brand","Formulation","Restaurant","Caffeine"
"1","Coca-Cola","Coke","Regular","Red Lobster",47.32
"2","Coca-Cola","Coke","Regular","Red Lobster",43.78
"3","Coca-Cola","Coke","Regular","Red Lobster",48.12
"4","Coca-Cola","Coke","Regular","Red Lobster",43.25
"5","Coca-Cola","Coke","Regular","Red Lobster",46.42
"6","Coca-Cola","Coke","Regular","Red Lobster",45.16
"7","Coca-Cola","Coke","Regular","Red Lobster",45.17
"8","Coca-Cola","Coke","Regular","Red Lobster",42.48
"9","Coca-Cola","Coke","Regular","Red Lobster",47.7
"10","Coca-Cola","Coke","Regular","Red Lobster",36.62
"11","Coke","Coke","Regular","Applebees",39.06
"12","Coke","Coke","Regular","Applebees",34.59
"13","Coca-Cola","Coke","Regular","Applebees",45.96
"14","Coca-Cola","Coke","Regular","Applebees",41.19
"15","Coca-Cola","Coke","Regular","Applebees",35.81
"16","Coca-Cola","Coke","Regular","Applebee's",32.56
"17","Coca-Cola","Coke","Regular","Applebees",40.06
"18","Coca-Cola","Coke","Regular","Applebees",42.09
"19","Coca-Cola","Coke","Regular","Applebees",39.3
"20","Coca-Cola","Coke","Regular","Applebees",40.37
"21","Coca-Cola","Coke","Regular","McDonalds",41.92
"22","Coca-Cola","Coke","Regular","McDonald's",40.9
"23","Coca-Cola","Coke","Regular","McDonalds",38.43
"24","Coca-Cola","Coke","Regular","McDonald's",34.09
"25","Coca-Cola","Coke","Regular","MacDonald's",38.81
"26","Coca-Cola","Coke","Regular","McDonald's",40
"27","Coca-Cola","Coke","Regular","McDonald's",38.9
"28","Coca-Cola","Coke","Regular","McDonald's",40.38
"29","Coca-Cola","Coke","Regular","McDonald's",32.98
"30","Coca-Cola","Coke","Regular","McDonald's",35.59
"31","Coca-Cola","Coke","Regular","Burger King",44
"32","Coca-Cola","Coke","Regular","Burger King",34.85
"33","Coke","Coke","Regular","Burger King",33.41
"34","Coca-Cola","Coke","Regular","Burger King",30.56
"35","Coke","Coke","Regular","Burger King",37.94
"36","Coca-Cola","Coke","Regular","Burger King",29.38
"37","Coca-Cola","Coke","Regular","Burger King",37.03
"38","Coca-Cola","Coke","Regular","Burger King",34
"39","Coca-Cola","Coke","Regular","Burger King",35.4
"40","Coca-Cola","Coke","Regular","Burger King",33.44
"41","Coca-Cola","Coke","Regular","Hardee's",33.04
"42","Coca-Cola","Coke","Regular","Hardee's",33.55
"43","Coca-Cola","Coke","Regular","Hardee's",35.91
"44","Coca-Cola","Coke","Regular","Hardee's",36.81
"45","Coca-Cola","Coke","Regular","Hardee's",32.04
"46","Coca-Cola","Coke","Regular","Hardee's",32.3
"47","Coca-Cola","Coke","Regular","Hardee's",29.93
"48","Coca-Cola","Coke","Regular","Hardee's",28.43
"49","Coca-Cola","Coke","Regular","Hardee's",35.34
"50","Coca-Cola","Coke","Regular","Hardee's",30.64
"51","Diet Coke","Coke","Diet","Red Lobster",44.6
"52","Diet Coke","Coke","Diet","Red Lobster",45.66
"53","Diet Coke","Coke","Diet","Red Lobster",46.37
"54","Diet Coke","Coke","Diet","Red Lobster",48.11
"55","Diet Coke","Coke","Diet","Red Lobster",48.47
"56","Diet Coke","Coke","Diet","Red Lobster",45.91
"57","Diet Coke","Coke","Diet","Red Lobster",47.91
"58","Diet Coke","Coke","Diet","Red Lobster",48.25
"59","Diet Coke","Coke","Diet","Red Lobster",47.26
"60","Diet Coke","Coke","Diet","Red Lobster",47.47
"61","Diet Coke","Coke","Diet","Applebees",41.07
"62","Diet Coke","Coke","Diet","Applebees",42.55
"63","Diet Coke","Coke","Diet","Applebees",41.27
"64","Diet Coke","Coke","Diet","Applebees",47.52
"65","Diet Coke","Coke","Diet","Applebees",46
"66","Diet Coke","Coke","Diet","Applebees",46.99
"67","Diet Coke","Coke","Diet","Applebees",49.12
"68","Diet Coke","Coke","Diet","Applebees",41.27
"69","Diet Coke","Coke","Diet","Applebees",43.8
"70","Diet Coke","Coke","Diet","Applebees",44.39
"71","Diet Coke","Coke","Diet","McDonalds",39.71
"72","Diet Coke","Coke","Diet","McDonalds",44.35
"73","Diet Coke","Coke","Diet","McDonald's",46.73
"74","Diet Coke","Coke","Diet","McDonald's",45.18
"75","Diet Coke","Coke","Diet","McDonald's",47.79
"76","Diet Coke","Coke","Diet","McDs",43.93
"77","Diet Coke","Coke","Diet","McDonald's",47.77
"78","Diet Coke","Coke","Diet","McDonald's",39.34
"79","Diet Coke","Coke","Diet","McDonald's",49.65
"80","Diet Coke","Coke","Diet","McDonald's",46.55
"81","Diet Coke","Coke","Diet","Burger King",44.76
"82","Diet Coke","Coke","Diet","Burger King",48.7
"83","Diet Coke","Coke","Diet","Burger King",47.95
"84","Diet Coke","Coke","Diet","Burger King",51.2
"85","Diet Coke","Coke","Diet","Burger King",46.21
"86","Diet Coke","Coke","Diet","Burger King",42.05
"87","Diet Coke","Coke","Diet","Burger King",48.06
"88","Diet Coke","Coke","Diet","Burger King",47.26
"89","Diet Coke","Coke","Diet","Burger King",48.97
"90","Diet Coke","Coke","Diet","Burger King",46.85
"91","Diet Coke","Coke","Diet","Hardees",48.35
"92","Diet Coke","Coke","Diet","Hardee's",49.71
"93","Diet Coke","Coke","Diet","Hardee's",49.64
"94","Diet Coke","Coke","Diet","Hardee's",46.65
"95","Diet Coke","Coke","Diet","Hardee's",49.31
"96","Diet Coke","Coke","Diet","Hardee's",47.49
"97","Diet Coke","Coke","Diet","Hardee's",49.37
"98","Diet Coke","Coke","Diet","Hardee's",46.85
"99","Diet Coke","Coke","Diet","Hardee's",45.77
"100","Diet Coke","Coke","Diet","Hardee's",47.87
"101","Pepsi","Pepsi","Regular","Arby's",37.49
